goods_discount_quote,goods_name,goods_p_price,gifts,goods_image_path,venderid,goods_discount,goods_price,goods_ad,goods_promotion,goods_brand_id,goods_id,goods_image_url
0,七彩虹(Colorful)iGame1060烈焰战神S-6GD5 Top  6G192bit吃鸡显卡,1749.00,,full/6204e1562ced504e0d762ba5805e0954c3d380e8.jpg,1000000267,0,1749.00,京东热销、上万好评！纯铜镀镍散热管、直触式高效散热，轻松玩转游戏,,22215,3342660,https://img10.360buyimg.com/n7/jfs/t1/592/22/12137/92195/5bd1830dEf8f180f4/d8d6367f8cd607d7.jpg
0,华硕（ASUS）DUAL-GeForce GTX1060-O6G 1569-1809MHz 6G/8GHz GDDR5 雪豹系列游戏“吃鸡”显卡,1949.00,,full/66b6af0ad66634b306a67c45d545cefe686b779b.jpg,1000000225,0,1999.00,"【买即减50,赠剑网3专属礼包】严选芯片1569-1809MHz吊打低频显卡,11片翼形强风扇!",每满1000元，可减50元现金,8551,3182191,https://img11.360buyimg.com/n7/jfs/t7618/260/2068444304/347589/6a3ba180/59a687d6N3729d32f.jpg
0,技嘉(GIGABYTE)GeForce GTX 1070Ti GAMING 1607MHz-1683MHz/8008MHz/8G/256bit绝地求生/吃鸡显卡,3599.00,,full/7736f420dc78928b90ad79f13fa1a274a9081273.jpg,1000000297,0,3599.00,"【迎双旦3000-200】1070TiGAMING,朝生碧海逆水成寒,电竞“吃鸡”显卡",满3000元减200元,8900,5492009,https://img14.360buyimg.com/n7/jfs/t16675/283/785118322/404540/bb677789/5aaa0651N943cd763.jpg
0,索泰（ZOTAC）GeForce GTX1060 X-GAMING OC吃鸡显卡/游戏电竞台式机独立显卡 6GD5/1569-1784/8008MHz,1799.00,,full/43692725e92683475f69590f3bae69a6cbfabd5b.jpg,1000002556,0,1799.00,"【赠剑网3游戏礼包】网红爆款!LOGO信仰灯,3热管2风扇散热更出众!",,16546,3281156,https://img11.360buyimg.com/n7/jfs/t6988/285/2115461466/171490/7f426059/59896cadN7c170bf7.jpg
1000,蓝宝石 (Sapphire) Radeon RX Vega 56 8G HBM2 白金版 OC 1208-1512/1600MHz DX12 吃鸡显卡,2799.00,,full/5d76223b0beedb450589ab6ed645adeb3558239e.jpg,1000005574,50,2799.00,Vega10核心，高带宽显存，7+1相供电，全背板设计，引爆游戏激情,,10864,7576289,https://img14.360buyimg.com/n7/jfs/t18370/68/2539244514/143872/114f3506/5afa55a2N99ff6c1c.jpg
1000,蓝宝石（Sapphire）RADEON RX Vega 8G HBM2 超白金OC  1529-1580MHz/1890MHz DX12 吃鸡显卡,3599.00,,full/8510fe9b904349c687588d7fbbdc0caf63ea450f.jpg,1000005574,50,3599.00,8GB HBM2高带宽显存，RGB LED灯组，三风扇八热管，硬核玩家之选,满2000元减200元,10864,100000809753,https://img13.360buyimg.com/n7/jfs/t25588/300/1829475988/138099/dd1c3a16/5bbd6a3bNd4eef981.jpg
0,七彩虹（Colorful）iGame GeForce RTX 2080Ti Vulcan X OC GDDR6 11G电竞游戏显卡,11999.00,,full/a3dea1c312adcbdb52880af0b2ee5764259e4f58.jpg,1000000267,0,11999.00,,,22215,100001653709,https://img14.360buyimg.com/n7/jfs/t28765/305/809899317/112772/b09c7f6c/5bfe64b3N83925811.jpg
0,微星（MSI）GeForce GTX 1060 GAMING X 6G 1594-1809MHZ GDDR5 192BIT PCI-E 3.0 旗舰红龙 吃鸡显卡,2199.00,,full/3e2a80a34fd75de2fcd4efccd4afc9cfab82a82e.jpg,1000000266,0,2199.00,"【旧卡升级大额补贴,剑网3游戏礼包,年终大抽奖】（28日起2070领券减400）",,17443,3295240,https://img10.360buyimg.com/n7/jfs/t18442/74/2071557420/119185/e4e3d236/5ae3f0e5N46bba1d8.jpg
0,七彩虹（Colorful）iGame GeForce RTX 2080 Advanced OC  GDDR6 8G电竞游戏显卡,5999.00,,full/0bb537dd22690b5f4acd51504fe6c4bd6c466a7a.jpg,1000000267,0,5999.00,iGame RTX20显卡大有不同，光影技术、图灵架构游戏新动力，真空冰片技术，RGB能量灯效颜值实力兼备,每满1000元，可减50元现金,22215,8963621,https://img11.360buyimg.com/n7/jfs/t1/4342/31/12071/126667/5bd2c9b1Eb76f24b9/aa0b3257a4ecf13a.jpg
3000,索泰（ZOTAC）RTX2070-8GD6 X-GAMING OC吃鸡显卡/游戏电竞台式机独立显卡1410-1680/14000MHz,4099.00,,full/9a2910b6f5561a2a21c372b92dd562553e1af9bd.jpg,1000002556,400,4099.00,"【领券减400】RGB信仰灯,强化供电,合金骨架,Type-C接口!",,16546,100000856857,https://img12.360buyimg.com/n7/jfs/t25198/157/2150679008/547013/5755acf0/5bc4454bN3c111da8.jpg
